dataset,detector,seed,support,score_floor,images,detections_per_image,zero_detection_images,percent_zero_detection_images,detection_count,min,max,mean,median,q_0.01,q_0.05,q_0.25,q_0.5,q_0.75,q_0.95,q_0.99
external,faster_rcnn,17,all_retained_candidates,1e-05,3000,100.0,0,0.0,300000,1.3631345609610435e-05,0.917376697063446,0.008224016515559011,0.00018023050506599247,2.6172339858021587e-05,3.5633544030133635e-05,7.368592923739925e-05,0.00018023050506599247,0.0006959537276998162,0.017177534662186907,0.24499467015266418
external,faster_rcnn,17,ap_candidates,0.001,3000,20.792333333333332,0,0.0,62377,0.0010005044750869274,0.917376697063446,0.038759581980373776,0.0037727474700659513,0.0010202174307778478,0.0011051807086914778,0.001734208082780242,0.0037727474700659513,0.01578456163406372,0.23616373538970947,0.581270985603332
external,faster_rcnn,17,historical_threshold,0.69,3000,0.08133333333333333,2784,92.80000000000001,244,0.690350353717804,0.917376697063446,0.7626408184649515,0.754280149936676,0.691118044257164,0.694634136557579,0.7219637632369995,0.754280149936676,0.7928453385829926,0.8645944625139236,0.8955978977680206
external,faster_rcnn,17,posthoc_n5_threshold,0.7,3000,0.07333333333333333,2803,93.43333333333334,220,0.7004852294921875,0.917376697063446,0.7700933171944184,0.7643642723560333,0.7016276830434799,0.7075789272785187,0.7294836044311523,0.7643642723560333,0.7992972880601883,0.8655505180358887,0.8967184746265412
external,faster_rcnn,42,all_retained_candidates,1e-05,3000,99.18866666666666,0,0.0,297566,1.0011975064116996e-05,0.9644890427589417,0.0019362902269945243,4.469407213036902e-05,1.130080818256829e-05,1.411908942827722e-05,2.3830241843825206e-05,4.469407213036902e-05,0.00011279297177679837,0.0011559006525203586,0.018749404326080858
external,faster_rcnn,42,ap_candidates,0.001,3000,5.404333333333334,191,6.366666666666666,16213,0.0010005044750869274,0.9644890427589417,0.03390814937448212,0.0031480705365538597,0.0010142631363123655,0.00108806521166116,0.0016072202706709504,0.0031480705365538597,0.01073516346514225,0.17341417074203486,0.6980989885330199
external,faster_rcnn,42,historical_threshold,0.69,3000,0.05633333333333333,2856,95.19999999999999,169,0.6913931369781494,0.9644890427589417,0.8092343101840047,0.8048664331436157,0.6929387545585632,0.7017300367355347,0.7459540367126465,0.8048664331436157,0.8681016564369202,0.9371332883834839,0.9535042119026184
external,faster_rcnn,42,posthoc_n5_threshold,0.7,3000,0.05366666666666667,2860,95.33333333333334,161,0.700177788734436,0.9644890427589417,0.8148918259217872,0.8118252158164978,0.7041499614715576,0.7115812301635742,0.7542819976806641,0.8118252158164978,0.8697698712348938,0.938010573387146,0.9540042519569397
external,faster_rcnn,137,all_retained_candidates,1e-05,3000,100.0,0,0.0,300000,4.611274562194012e-05,0.8028648495674133,0.006697206289171784,0.00034666777355596423,0.00010190106695517898,0.0001238774711964652,0.00019035942386835814,0.00034666777355596423,0.000992726068943739,0.015953082125633778,0.17859816670417852
external,faster_rcnn,137,ap_candidates,0.001,3000,24.904333333333334,0,0.0,74713,0.0010005044750869274,0.8028648495674133,0.025908422299527726,0.003069387748837471,0.0010162439430132508,0.0010838276939466596,0.0015854306984692812,0.003069387748837471,0.01042845007032156,0.14607508480548786,0.41180817842483813
