sensitivity_type,detector,seed,equal_bins_per_dimension,bins_per_dimension,minimum_samples_per_cell,confidence_floor,is_original_setting,detection_ece,detection_ece_defined,undefined_reason,total_detections_entering_calibration,baseline_floor_detection_count,detections_removed_from_baseline_floor,fraction_baseline_detections_retained,total_possible_multidimensional_cells,occupied_cells,cells_meeting_minimum_support,detections_in_supported_cells,fraction_detections_contributing_to_supported_cells,supported_cell_size_median,supported_cell_size_min,supported_cell_size_max
confidence_floor,yolo11s,17,5,5|5|5|5|5,8,0.005,False,0.07804468022353275,True,,578,1019,441,0.5672227674190383,3125,90,21,408,0.7058823529411765,15.0,8,47
confidence_floor,yolo11s,17,5,5|5|5|5|5,8,0.01,False,0.06843086077879182,True,,451,1019,568,0.44259077526987245,3125,83,19,288,0.6385809312638581,11.0,8,36
confidence_floor,yolo11s,17,5,5|5|5|5|5,8,0.05,False,0.030241661697250455,True,,238,1019,781,0.23356231599607458,3125,74,9,91,0.38235294117647056,9.0,8,13
binning_minimum_support,yolo11s,42,3,3|3|3|3|3,1,0.001,False,0.10707038289636621,True,,773,773,0,1.0,243,31,31,773,1.0,6.0,1,150
binning_minimum_support,yolo11s,42,3,3|3|3|3|3,4,0.001,False,0.1029021280364677,True,,773,773,0,1.0,243,31,19,751,0.9715394566623544,15.0,5,150
binning_minimum_support,yolo11s,42,3,3|3|3|3|3,8,0.001,False,0.10017552052851633,True,,773,773,0,1.0,243,31,15,729,0.943078913324709,22.0,8,150
binning_minimum_support,yolo11s,42,3,3|3|3|3|3,16,0.001,False,0.09248925546737795,True,,773,773,0,1.0,243,31,9,667,0.8628719275549805,72.0,18,150
binning_minimum_support,yolo11s,42,5,5|5|5|5|5,1,0.001,False,0.1149098356141447,True,,773,773,0,1.0,3125,81,81,773,1.0,3.0,1,84
binning_minimum_support,yolo11s,42,5,5|5|5|5|5,4,0.001,False,0.09360570062441635,True,,773,773,0,1.0,3125,81,36,693,0.8965071151358344,11.5,4,84
binning_minimum_support,yolo11s,42,5,5|5|5|5|5,8,0.001,True,0.08830178842140679,True,,773,773,0,1.0,3125,81,27,645,0.8344113842173351,17.0,8,84
