detector,threshold,seed_count,sensitivity,sensitivity_std,fp_per_image,fp_per_image_std
yolo11s,0.39,5,0.05522388059701493,0.05312416052302807,0.028533333333333334,0.0307043247044379
yolo11s,0.4,5,0.05298507462686567,0.0535808422920564,0.026666666666666665,0.02954469307488045
yolo11s,0.41,5,0.05223880597014925,0.05381419814125357,0.025866666666666666,0.030178726871018857
yolo11s,0.42,5,0.05,0.053398638268651696,0.023200000000000002,0.03034029224205551
yolo11s,0.43,5,0.05,0.053398638268651696,0.021333333333333336,0.029888682361946525
yolo11s,0.44,5,0.04850746268656716,0.05342470545998639,0.02026666666666667,0.02958077453722641
yolo11s,0.45,5,0.04402985074626865,0.054864705300635225,0.019733333333333332,0.029775455962550393
yolo11s,0.46,5,0.04253731343283582,0.05531960239775148,0.0184,0.029339393313427595
yolo11s,0.47,5,0.040298507462686574,0.05593282337478579,0.018133333333333335,0.02876108481959608
yolo11s,0.48,5,0.03880597014925373,0.05500410078071886,0.0176,0.0290807305425584
yolo11s,0.49,5,0.03880597014925373,0.05500410078071886,0.017066666666666667,0.029263553365159806
yolo11s,0.5,5,0.033582089552238806,0.0529666774872328,0.015466666666666665,0.027139147616189668
yolo11s,0.51,5,0.03283582089552239,0.05139239667671982,0.0152,0.02655978580904263
yolo11s,0.52,5,0.03208955223880597,0.051270340409903484,0.014666666666666666,0.025403411844343533
yolo11s,0.53,5,0.03134328358208956,0.051202405650490834,0.014133333333333335,0.02483008927356753
yolo11s,0.54,5,0.029850746268656712,0.051703009181160525,0.013066666666666667,0.024338355646089892
yolo11s,0.55,5,0.0291044776119403,0.05172993082275633,0.012533333333333332,0.024469482126836185
yolo11s,0.56,5,0.027611940298507463,0.050172347205885405,0.012266666666666667,0.02455651079087219
yolo11s,0.57,5,0.026119402985074626,0.046902257798419895,0.011733333333333335,0.023369495786887087
yolo11s,0.58,5,0.026119402985074626,0.046902257798419895,0.010933333333333333,0.022985986068810613
yolo11s,0.59,5,0.026119402985074626,0.046902257798419895,0.010666666666666666,0.022390474164995552
yolo11s,0.6,5,0.025373134328358204,0.04700604038290604,0.010133333333333333,0.02192107053346924
yolo11s,0.61,5,0.023880597014925373,0.04551627069246838,0.010133333333333333,0.02192107053346924
yolo11s,0.62,5,0.023134328358208955,0.043865110476673415,0.010133333333333333,0.02192107053346924
yolo11s,0.63,5,0.020149253731343283,0.037276100727588586,0.009066666666666667,0.020273682995998094
yolo11s,0.64,5,0.01865671641791045,0.03578978748740835,0.008533333333333334,0.019081113407998205
yolo11s,0.65,5,0.017164179104477612,0.03436078935289952,0.008533333333333334,0.019081113407998205
yolo11s,0.66,5,0.01641791044776119,0.0326998541794129,0.008266666666666667,0.018484828613998264
yolo11s,0.67,5,0.015671641791044775,0.0329965536857226,0.008,0.01788854381999832
yolo11s,0.68,5,0.013432835820895522,0.030036734026116577,0.007733333333333333,0.017292259025998374
yolo11s,0.69,5,0.012686567164179105,0.028368026580221216,0.0074666666666666675,0.01669597423199843
yolo11s,0.7,5,0.012686567164179105,0.028368026580221216,0.006933333333333333,0.01550340464399854
yolo11s,0.71,5,0.011940298507462687,0.026699319134325848,0.006666666666666666,0.014907119849998596
yolo11s,0.72,5,0.011940298507462687,0.026699319134325848,0.0056,0.012521980673998822
yolo11s,0.73,5,0.011940298507462687,0.026699319134325848,0.0048000000000000004,0.010733126291998992
yolo11s,0.74,5,0.010447761194029851,0.023361904242535116,0.0048000000000000004,0.010733126291998992
yolo11s,0.75,5,0.009701492537313432,0.02169319679663975,0.004533333333333334,0.010136841497999047
yolo11s,0.76,5,0.008955223880597014,0.020024489350744384,0.004,0.00894427190999916
yolo11s,0.77,5,0.008208955223880597,0.018355781904849017,0.0032,0.007155417527999327
yolo11s,0.78,5,0.005970149253731343,0.013349659567162924,0.0021333333333333334,0.004770278351999551
yolo11s,0.79,5,0.0052238805970149255,0.011680952121267558,0.0018666666666666669,0.004173993557999607
yolo11s,0.8,5,0.004477611940298507,0.010012244675372192,0.0018666666666666669,0.004173993557999607
yolo11s,0.81,5,0.003731343283582089,0.008343537229476826,0.0016,0.0035777087639996636
yolo11s,0.82,5,0.0029850746268656717,0.006674829783581462,0.0016,0.0035777087639996636
yolo11s,0.83,5,0.0014925373134328358,0.003337414891790731,0.0008,0.0017888543819998318
yolo11s,0.84,5,0.0007462686567164179,0.0016687074458953655,0.0005333333333333334,0.0011925695879998878
yolo11s,0.85,5,0.0007462686567164179,0.0016687074458953655,0.0002666666666666667,0.0005962847939999439
yolo11s,0.86,5,0.0007462686567164179,0.0016687074458953655,0.0002666666666666667,0.0005962847939999439
yolo11s,0.87,5,0.0007462686567164179,0.0016687074458953655,0.0,0.0
yolo11s,0.88,5,0.0,0.0,0.0,0.0
yolo11s,0.89,5,0.0,0.0,0.0,0.0
yolo11s,0.9,5,0.0,0.0,0.0,0.0
yolo11s,0.91,5,0.0,0.0,0.0,0.0
yolo11s,0.92,5,0.0,0.0,0.0,0.0
yolo11s,0.93,5,0.0,0.0,0.0,0.0
yolo11s,0.94,5,0.0,0.0,0.0,0.0
yolo11s,0.95,5,0.0,0.0,0.0,0.0
yolo11s,0.96,5,0.0,0.0,0.0,0.0
yolo11s,0.97,5,0.0,0.0,0.0,0.0
yolo11s,0.98,5,0.0,0.0,0.0,0.0
yolo11s,0.99,5,0.0,0.0,0.0,0.0
