detector,seed,threshold,sensitivity,false_positives,fp_per_image
faster_rcnn,137,0.3,0.667910447761194,929,1.2386666666666666
faster_rcnn,137,0.31,0.6567164179104478,900,1.2
faster_rcnn,137,0.32,0.6455223880597015,871,1.1613333333333333
faster_rcnn,137,0.33,0.6417910447761194,835,1.1133333333333333
faster_rcnn,137,0.34,0.6417910447761194,813,1.084
faster_rcnn,137,0.35,0.6305970149253731,783,1.044
faster_rcnn,137,0.36,0.6194029850746269,755,1.0066666666666666
faster_rcnn,137,0.37,0.6156716417910447,732,0.976
faster_rcnn,137,0.38,0.6156716417910447,707,0.9426666666666667
faster_rcnn,137,0.39,0.6156716417910447,678,0.904
faster_rcnn,137,0.4,0.6082089552238806,653,0.8706666666666667
faster_rcnn,137,0.41,0.6082089552238806,629,0.8386666666666667
faster_rcnn,137,0.42,0.6044776119402985,617,0.8226666666666667
faster_rcnn,137,0.43,0.6007462686567164,594,0.792
faster_rcnn,137,0.44,0.5970149253731343,573,0.764
faster_rcnn,137,0.45,0.5970149253731343,556,0.7413333333333333
faster_rcnn,137,0.46,0.585820895522388,542,0.7226666666666667
faster_rcnn,137,0.47,0.582089552238806,524,0.6986666666666667
faster_rcnn,137,0.48,0.5708955223880597,503,0.6706666666666666
faster_rcnn,137,0.49,0.5559701492537313,480,0.64
faster_rcnn,137,0.5,0.5447761194029851,469,0.6253333333333333
faster_rcnn,137,0.51,0.5410447761194029,444,0.592
faster_rcnn,137,0.52,0.5111940298507462,427,0.5693333333333334
faster_rcnn,137,0.53,0.503731343283582,406,0.5413333333333333
faster_rcnn,137,0.54,0.5,382,0.5093333333333333
faster_rcnn,137,0.55,0.48880597014925375,354,0.472
faster_rcnn,137,0.56,0.48134328358208955,341,0.45466666666666666
faster_rcnn,137,0.57,0.47388059701492535,324,0.432
faster_rcnn,137,0.58,0.4626865671641791,301,0.4013333333333333
faster_rcnn,137,0.59,0.4552238805970149,284,0.37866666666666665
faster_rcnn,137,0.6,0.43656716417910446,260,0.3466666666666667
faster_rcnn,137,0.61,0.4216417910447761,243,0.324
faster_rcnn,137,0.62,0.4141791044776119,228,0.304
faster_rcnn,137,0.63,0.39552238805970147,205,0.2733333333333333
faster_rcnn,137,0.64,0.376865671641791,186,0.248
faster_rcnn,137,0.65,0.3619402985074627,164,0.21866666666666668
faster_rcnn,137,0.66,0.33955223880597013,149,0.19866666666666666
faster_rcnn,137,0.67,0.3246268656716418,135,0.18
faster_rcnn,137,0.68,0.30223880597014924,113,0.15066666666666667
faster_rcnn,137,0.69,0.291044776119403,100,0.13333333333333333
faster_rcnn,137,0.7,0.2537313432835821,81,0.108
faster_rcnn,137,0.71,0.22761194029850745,64,0.08533333333333333
faster_rcnn,137,0.72,0.208955223880597,48,0.064
faster_rcnn,137,0.73,0.19402985074626866,36,0.048
faster_rcnn,137,0.74,0.16791044776119404,31,0.04133333333333333
faster_rcnn,137,0.75,0.12313432835820895,20,0.02666666666666667
