detector,family,corruption,severity,value,unit,metric,clean_performance,corrupted_performance,relative_performance,relative_degradation
faster_rcnn,blur,gaussian_blur,5,3.0,sigma_pixels,precision,0.14392523364485982,0.11094674556213018,0.7708637516329824,0.22913624836701763
faster_rcnn,blur,gaussian_blur,5,3.0,sigma_pixels,recall,0.6936936936936937,0.6756756756756757,0.974025974025974,0.025974025974025983
faster_rcnn,blur,gaussian_blur,5,3.0,sigma_pixels,f1,0.238390092879257,0.19059720457433293,0.7995181438637601,0.20048185613623992
faster_rcnn,blur,gaussian_blur,5,3.0,sigma_pixels,iou,0.6920036232087895,0.6679621788878691,0.9652582103408053,0.03474178965919472
faster_rcnn,blur,gaussian_blur,5,3.0,sigma_pixels,dice,0.8131556609292098,0.7968489757540537,0.9799464162168875,0.020053583783112505
faster_rcnn,blur,gaussian_blur,5,3.0,sigma_pixels,map_50,0.37771312207151386,0.2747410750603783,0.727380276209627,0.272619723790373
faster_rcnn,blur,gaussian_blur,5,3.0,sigma_pixels,map_50_95,0.1478022331883237,0.10251796405367865,0.6936157989105236,0.3063842010894764
faster_rcnn,blur,motion_blur,1,3.0,kernel_pixels,precision,0.14392523364485982,0.13043478260869565,0.9062676453980801,0.09373235460191987
faster_rcnn,blur,motion_blur,1,3.0,kernel_pixels,recall,0.6936936936936937,0.6486486486486487,0.935064935064935,0.06493506493506496
faster_rcnn,blur,motion_blur,1,3.0,kernel_pixels,f1,0.238390092879257,0.2171945701357466,0.911088911088911,0.08891108891108901
faster_rcnn,blur,motion_blur,1,3.0,kernel_pixels,iou,0.6920036232087895,0.6936727635043847,1.0024120398212013,-0.002412039821201306
faster_rcnn,blur,motion_blur,1,3.0,kernel_pixels,dice,0.8131556609292098,0.8144479893351111,1.0015892755446412,-0.0015892755446411666
faster_rcnn,blur,motion_blur,1,3.0,kernel_pixels,map_50,0.37771312207151386,0.3238176406204834,0.8573110694289667,0.14268893057103327
faster_rcnn,blur,motion_blur,1,3.0,kernel_pixels,map_50_95,0.1478022331883237,0.13201795849232148,0.8932067915652497,0.10679320843475026
faster_rcnn,blur,motion_blur,2,5.0,kernel_pixels,precision,0.14392523364485982,0.1273996509598604,0.8851793930327961,0.11482060696720386
faster_rcnn,blur,motion_blur,2,5.0,kernel_pixels,recall,0.6936936936936937,0.6576576576576577,0.9480519480519481,0.051948051948051854
faster_rcnn,blur,motion_blur,2,5.0,kernel_pixels,f1,0.238390092879257,0.21345029239766083,0.8953823953823953,0.10461760461760472
faster_rcnn,blur,motion_blur,2,5.0,kernel_pixels,iou,0.6920036232087895,0.6894088566341428,0.9962503569524463,0.0037496430475536524
faster_rcnn,blur,motion_blur,2,5.0,kernel_pixels,dice,0.8131556609292098,0.8120714555224562,0.9986666692998059,0.0013333307001941463
faster_rcnn,blur,motion_blur,2,5.0,kernel_pixels,map_50,0.37771312207151386,0.34261650620363693,0.9070812904900033,0.0929187095099967
faster_rcnn,blur,motion_blur,2,5.0,kernel_pixels,map_50_95,0.1478022331883237,0.1340190040020085,0.9067454605455578,0.09325453945444218
faster_rcnn,blur,motion_blur,3,9.0,kernel_pixels,precision,0.14392523364485982,0.12191103789126853,0.8470442243094631,0.15295577569053687
faster_rcnn,blur,motion_blur,3,9.0,kernel_pixels,recall,0.6936936936936937,0.6666666666666666,0.9610389610389609,0.038961038961039085
faster_rcnn,blur,motion_blur,3,9.0,kernel_pixels,f1,0.238390092879257,0.20612813370473534,0.8646673660601235,0.1353326339398765
faster_rcnn,blur,motion_blur,3,9.0,kernel_pixels,iou,0.6920036232087895,0.677074119099785,0.9784256850567096,0.02157431494329043
faster_rcnn,blur,motion_blur,3,9.0,kernel_pixels,dice,0.8131556609292098,0.8036061970500568,0.9882562904767328,0.011743709523267198
faster_rcnn,blur,motion_blur,3,9.0,kernel_pixels,map_50,0.37771312207151386,0.3045855536339739,0.8063938895305457,0.1936061104694543
faster_rcnn,blur,motion_blur,3,9.0,kernel_pixels,map_50_95,0.1478022331883237,0.10850078738290946,0.7340943708520432,0.2659056291479568
faster_rcnn,blur,motion_blur,4,13.0,kernel_pixels,precision,0.14392523364485982,0.10923076923076923,0.7589410589410589,0.2410589410589411
faster_rcnn,blur,motion_blur,4,13.0,kernel_pixels,recall,0.6936936936936937,0.6396396396396397,0.922077922077922,0.07792207792207795
faster_rcnn,blur,motion_blur,4,13.0,kernel_pixels,f1,0.238390092879257,0.1865965834428384,0.7827363175589194,0.21726368244108063
faster_rcnn,blur,motion_blur,4,13.0,kernel_pixels,iou,0.6920036232087895,0.6761103997627421,0.9770330343469139,0.02296696565308609
faster_rcnn,blur,motion_blur,4,13.0,kernel_pixels,dice,0.8131556609292098,0.8029278352283393,0.987422056818515,0.012577943181484974
faster_rcnn,blur,motion_blur,4,13.0,kernel_pixels,map_50,0.37771312207151386,0.28726710633647234,0.7605430935546977,0.23945690644530226
faster_rcnn,blur,motion_blur,4,13.0,kernel_pixels,map_50_95,0.1478022331883237,0.11161355527215189,0.7551547284805796,0.24484527151942037
faster_rcnn,blur,motion_blur,5,17.0,kernel_pixels,precision,0.14392523364485982,0.1130298273155416,0.7853371118677241,0.21466288813227585
faster_rcnn,blur,motion_blur,5,17.0,kernel_pixels,recall,0.6936936936936937,0.6486486486486487,0.935064935064935,0.06493506493506496
faster_rcnn,blur,motion_blur,5,17.0,kernel_pixels,f1,0.238390092879257,0.19251336898395724,0.807556080283353,0.19244391971664698
faster_rcnn,blur,motion_blur,5,17.0,kernel_pixels,iou,0.6920036232087895,0.6797199288315837,0.9822490895058513,0.017750910494148675
faster_rcnn,blur,motion_blur,5,17.0,kernel_pixels,dice,0.8131556609292098,0.8045542858071187,0.9894222280734515,0.010577771926548518
faster_rcnn,blur,motion_blur,5,17.0,kernel_pixels,map_50,0.37771312207151386,0.2884950041113767,0.7637939675729741,0.23620603242702587
faster_rcnn,blur,motion_blur,5,17.0,kernel_pixels,map_50_95,0.1478022331883237,0.10032785510053323,0.6787979649312842,0.3212020350687158
faster_rcnn,compression,jpeg,1,90.0,quality_percent,precision,0.14392523364485982,0.1425891181988743,0.9907166004726979,0.00928339952730206
faster_rcnn,compression,jpeg,1,90.0,quality_percent,recall,0.6936936936936937,0.6846846846846847,0.987012987012987,0.012987012987012991
faster_rcnn,compression,jpeg,1,90.0,quality_percent,f1,0.238390092879257,0.23602484472049687,0.9900782447366295,0.009921755263370469
faster_rcnn,compression,jpeg,1,90.0,quality_percent,iou,0.6920036232087895,0.6950131349929555,1.0043489826978231,-0.004348982697823134
faster_rcnn,compression,jpeg,1,90.0,quality_percent,dice,0.8131556609292098,0.8154405212150305,1.002809868264595,-0.00280986826459495
faster_rcnn,compression,jpeg,1,90.0,quality_percent,map_50,0.37771312207151386,0.37178792275912953,0.9843129640826657,0.015687035917334335
faster_rcnn,compression,jpeg,1,90.0,quality_percent,map_50_95,0.1478022331883237,0.14585536652957173,0.9868278941613058,0.013172105838694215
faster_rcnn,compression,jpeg,2,70.0,quality_percent,precision,0.14392523364485982,0.13594040968342644,0.9445210283199109,0.055478971680089084
faster_rcnn,compression,jpeg,2,70.0,quality_percent,recall,0.6936936936936937,0.6576576576576577,0.9480519480519481,0.051948051948051854
faster_rcnn,compression,jpeg,2,70.0,quality_percent,f1,0.238390092879257,0.22530864197530864,0.9451258617925283,0.05487413820747167
faster_rcnn,compression,jpeg,2,70.0,quality_percent,iou,0.6920036232087895,0.6943660296929348,1.0034138643280377,-0.003413864328037697
faster_rcnn,compression,jpeg,2,70.0,quality_percent,dice,0.8131556609292098,0.8156138625257721,1.0030230393941466,-0.0030230393941466094
faster_rcnn,compression,jpeg,2,70.0,quality_percent,map_50,0.37771312207151386,0.3402617578492035,0.900847066109555,0.099152933890445
faster_rcnn,compression,jpeg,2,70.0,quality_percent,map_50_95,0.1478022331883237,0.13821070291095752,0.9351056471173542,0.06489435288264578
faster_rcnn,compression,jpeg,3,50.0,quality_percent,precision,0.14392523364485982,0.14035087719298245,0.9751651856915013,0.024834814308498654
faster_rcnn,compression,jpeg,3,50.0,quality_percent,recall,0.6936936936936937,0.6486486486486487,0.935064935064935,0.06493506493506496
faster_rcnn,compression,jpeg,3,50.0,quality_percent,f1,0.238390092879257,0.23076923076923078,0.968031968031968,0.031968031968031996
faster_rcnn,compression,jpeg,3,50.0,quality_percent,iou,0.6920036232087895,0.691504619458356,0.999278900089974,0.0007210999100260018
faster_rcnn,compression,jpeg,3,50.0,quality_percent,dice,0.8131556609292098,0.8128200922697588,0.9995873254340165,0.00041267456598348407
