detector,family,severity,metric,corruption_type_count,mean_corrupted_performance,mean_relative_performance,mean_relative_degradation
yolo11s,compression,2,f1,1,0.24516129032258066,0.9806451612903226,0.019354838709677358
yolo11s,compression,2,iou,1,0.6958351365252483,1.0025270854741,-0.002527085474099966
yolo11s,compression,2,map_50,1,0.20528516613312897,0.9715994320722927,0.028400567927707288
yolo11s,compression,2,map_50_95,1,0.07424122341530039,0.9730844213569518,0.026915578643048166
yolo11s,compression,2,precision,1,0.4318181818181818,0.9318181818181818,0.06818181818181823
yolo11s,compression,2,recall,1,0.17117117117117117,1.0,0.0
yolo11s,compression,3,dice,1,0.8360014211630022,1.026588855788691,-0.02658885578869108
yolo11s,compression,3,f1,1,0.22077922077922074,0.883116883116883,0.11688311688311703
yolo11s,compression,3,iou,1,0.7246023661842699,1.0439735796124088,-0.043973579612408775
yolo11s,compression,3,map_50,1,0.20521836269631746,0.97128325637149,0.028716743628509955
yolo11s,compression,3,map_50_95,1,0.074528039652302,0.9768437399562324,0.023156260043767585
yolo11s,compression,3,precision,1,0.3953488372093023,0.8531211750305997,0.1468788249694003
yolo11s,compression,3,recall,1,0.15315315315315314,0.894736842105263,0.10526315789473695
yolo11s,compression,4,dice,1,0.8075132464928744,0.991606089135699,0.008393910864300969
yolo11s,compression,4,f1,1,0.24203821656050958,0.9681528662420383,0.031847133757961665
yolo11s,compression,4,iou,1,0.6836897350556135,0.9850285527065986,0.014971447293401385
yolo11s,compression,4,map_50,1,0.19368900663517458,0.9167156711330069,0.08328432886699311
yolo11s,compression,4,map_50_95,1,0.06212235227680615,0.8142416091455522,0.18575839085444779
yolo11s,compression,4,precision,1,0.41304347826086957,0.8913043478260869,0.10869565217391308
yolo11s,compression,4,recall,1,0.17117117117117117,1.0,0.0
yolo11s,compression,5,dice,1,0.8370787685216483,1.0279118114251309,-0.027911811425130884
yolo11s,compression,5,f1,1,0.19607843137254902,0.7843137254901961,0.21568627450980393
yolo11s,compression,5,iou,1,0.7258790375406162,1.04581294866235,-0.04581294866234997
yolo11s,compression,5,map_50,1,0.1649863934449128,0.7808683364231828,0.21913166357681724
yolo11s,compression,5,map_50_95,1,0.05845685283262884,0.7661976755795756,0.23380232442042437
yolo11s,compression,5,precision,1,0.35714285714285715,0.7706766917293233,0.2293233082706767
yolo11s,compression,5,recall,1,0.13513513513513514,0.7894736842105263,0.21052631578947367
yolo11s,lighting,1,dice,2,0.8216834024197963,1.0090066865403413,-0.009006686540341258
yolo11s,lighting,1,f1,2,0.24508771929824563,0.9803508771929825,0.01964912280701747
yolo11s,lighting,1,iou,2,0.7038053004586782,1.014010129085311,-0.014010129085310907
yolo11s,lighting,1,map_50,2,0.20436709769405229,0.9672542823919114,0.03274571760808864
yolo11s,lighting,1,map_50_95,2,0.07119947635646873,0.9332160498445365,0.06678395015546351
yolo11s,lighting,1,precision,2,0.4631019387116948,0.9993252361673413,0.0006747638326586869
yolo11s,lighting,1,recall,2,0.16666666666666669,0.9736842105263158,0.02631578947368418
yolo11s,lighting,2,dice,2,0.819420698740965,1.006228142961541,-0.006228142961541061
yolo11s,lighting,2,f1,2,0.2568088330807534,1.0272353323230137,-0.027235332323013672
yolo11s,lighting,2,iou,2,0.7008879606385037,1.0098069607861904,-0.009806960786190422
yolo11s,lighting,2,map_50,2,0.1877075237502438,0.8884057572535988,0.11159424274640117
yolo11s,lighting,2,map_50_95,2,0.06395766888093415,0.8382972202141413,0.16170277978585867
yolo11s,lighting,2,precision,2,0.479066985645933,1.033776126920171,-0.03377612692017112
yolo11s,lighting,2,recall,2,0.17567567567567566,1.026315789473684,-0.02631578947368418
yolo11s,lighting,3,dice,2,0.8382516581976991,1.0293520906400015,-0.02935209064000155
yolo11s,lighting,3,f1,2,0.22911564625850342,0.9164625850340137,0.08353741496598632
yolo11s,lighting,3,iou,2,0.7277676911927553,1.048534033502653,-0.04853403350265295
yolo11s,lighting,3,map_50,2,0.15845775078545393,0.749968756002357,0.250031243997643
yolo11s,lighting,3,map_50_95,2,0.056681129811295236,0.7429231613782308,0.2570768386217692
yolo11s,lighting,3,precision,2,0.4551282051282051,0.9821187584345479,0.01788124156545212
yolo11s,lighting,3,recall,2,0.15315315315315314,0.8947368421052632,0.10526315789473684
yolo11s,lighting,4,dice,2,0.8429230385016608,1.0350884289281908,-0.03508842892819086
yolo11s,lighting,4,f1,2,0.15071043606075452,0.6028417442430181,0.3971582557569819
yolo11s,lighting,4,iou,2,0.7340193631907389,1.057541153405761,-0.05754115340576116
yolo11s,lighting,4,map_50,2,0.15019614312575108,0.7108671810499525,0.28913281895004755
yolo11s,lighting,4,map_50_95,2,0.05244362300386977,0.6873818910433732,0.3126181089566268
yolo11s,lighting,4,precision,2,0.36270022883295194,0.7826689148500541,0.21733108514994587
yolo11s,lighting,4,recall,2,0.09909909909909909,0.5789473684210527,0.4210526315789474
yolo11s,lighting,5,dice,2,0.8282492831590464,1.0170694240246565,-0.0170694240246565
yolo11s,lighting,5,f1,2,0.09433962264150943,0.3773584905660377,0.6226415094339623
yolo11s,lighting,5,iou,2,0.7123197570211335,1.0262773643453462,-0.02627736434534622
yolo11s,lighting,5,map_50,2,0.09754550316212998,0.46167561572407584,0.5383243842759242
yolo11s,lighting,5,map_50_95,2,0.03252907676424691,0.42636067112398357,0.5736393288760164
yolo11s,lighting,5,precision,2,0.15625,0.3371710526315789,0.662828947368421
yolo11s,lighting,5,recall,2,0.06756756756756757,0.39473684210526316,0.6052631578947368
yolo11s,noise,1,dice,2,0.8137317805988584,0.9992422936336103,0.000757706366389721
yolo11s,noise,1,f1,2,0.18377143922445938,0.7350857568978375,0.26491424310216255
yolo11s,noise,1,iou,2,0.6912677382887331,0.9959465893164632,0.004053410683536873
yolo11s,noise,1,map_50,2,0.17027162764970682,0.8058829570529888,0.19411704294701115
yolo11s,noise,1,map_50_95,2,0.05716826591370936,0.7493080851514837,0.25069191484851633
yolo11s,noise,1,precision,2,0.3771929824561403,0.8139427516158817,0.1860572483841183
yolo11s,noise,1,recall,2,0.12162162162162163,0.7105263157894737,0.2894736842105263
yolo11s,noise,2,dice,2,0.8048169061655971,0.9882950505880065,0.011704949411993515
yolo11s,noise,2,f1,2,0.17567567567567569,0.7027027027027027,0.29729729729729726
yolo11s,noise,2,iou,2,0.6812145647850545,0.9814624418462201,0.018537558153779832
yolo11s,noise,2,map_50,2,0.1441734116091063,0.6823620404627309,0.3176379595372692
yolo11s,noise,2,map_50_95,2,0.04668103797171942,0.6118513237443624,0.3881486762556377
yolo11s,noise,2,precision,2,0.35135135135135137,0.7581792318634424,0.24182076813655762
yolo11s,noise,2,recall,2,0.11711711711711711,0.6842105263157895,0.3157894736842105
yolo11s,noise,3,dice,2,0.8273699214182335,1.0159895897797941,-0.015989589779794033
yolo11s,noise,3,f1,2,0.12911884487226954,0.5164753794890782,0.4835246205109219
yolo11s,noise,3,iou,2,0.7128872322970272,1.0270949564796863,-0.027094956479686294
yolo11s,noise,3,map_50,2,0.1173526812314325,0.5554215172209662,0.4445784827790337
yolo11s,noise,3,map_50_95,2,0.03958979546996122,0.5189059587693678,0.48109404123063215
yolo11s,noise,3,precision,2,0.26293436293436295,0.5673846779109937,0.4326153220890064
yolo11s,noise,3,recall,2,0.08558558558558559,0.5,0.5
yolo11s,noise,4,dice,2,0.833137866960661,1.0230724827806394,-0.023072482780639336
yolo11s,noise,4,f1,2,0.125,0.5,0.5
yolo11s,noise,4,iou,2,0.7207573256624611,1.0384338230443402,-0.038433823044340065
yolo11s,noise,4,map_50,2,0.08143241044621963,0.38541354561641883,0.6145864543835812
yolo11s,noise,4,map_50_95,2,0.028651234581716305,0.3755335478262861,0.6244664521737139
yolo11s,noise,4,precision,2,0.23170731707317074,0.5,0.5
yolo11s,noise,4,recall,2,0.08558558558558559,0.5,0.5
yolo11s,noise,5,dice,2,0.7968065702352358,0.9784585582220093,0.021541441777990666
yolo11s,noise,5,f1,2,0.06687342508238031,0.26749370032952124,0.7325062996704788
yolo11s,noise,5,iou,2,0.669965749469456,0.9652556689463951,0.034744331053604804
yolo11s,noise,5,map_50,2,0.051724352730388376,0.24480751670367315,0.7551924832963268
yolo11s,noise,5,map_50_95,2,0.01625869758520846,0.21310377986658655,0.7868962201334134
yolo11s,noise,5,precision,2,0.1365015166835187,0.2945559044223298,0.7054440955776702
yolo11s,noise,5,recall,2,0.04504504504504504,0.2631578947368421,0.736842105263158
